Date,Federal Funds Rate
Jan 2020,1.55
Feb 2020,1.58
Mar 2020,0.65
Apr 2020,0.05
May 2020,0.05
Jun 2020,0.08
Jul 2020,0.09
Aug 2020,0.10
Sep 2020,0.09
Oct 2020,0.09
Nov 2020,0.09
Dec 2020,0.09
Jan 2021,0.09
Feb 2021,0.08
Mar 2021,0.07
Apr 2021,0.07
May 2021,0.06
Jun 2021,0.08
Jul 2021,0.10
Aug 2021,0.09
Sep 2021,0.08
Oct 2021,0.08
Nov 2021,0.08
Dec 2021,0.08
Jan 2022,0.08
Feb 2022,0.08
Mar 2022,0.20
Apr 2022,0.33
May 2022,0.77
Jun 2022,1.21
Jul 2022,1.68
Aug 2022,2.33
Sep 2022,2.56
Oct 2022,3.08
Nov 2022,3.78
Dec 2022,4.10
Jan 2023,4.33
Feb 2023,4.57
Mar 2023,4.65
Apr 2023,4.83
May 2023,5.06
Jun 2023,5.08
Jul 2023,5.12
Aug 2023,5.33
Sep 2023,5.33
Oct 2023,5.33
Nov 2023,5.33
Dec 2023,5.33
Jan 2024,5.33